"n_obs" "vglm_cl_N" "vglm_cl_LB" "vglm_cl_UB" "em_cl_N" "em_cl_LB" "em_cl_UB" "em_el_N" "em_el_LB" "em_el_UB" "em_pel_N" "em_pel_LB" "em_pel_UB"
138 162.861276389385 132.861118443531 192.861434335238 162.677708716354 131.407430737922 193.947986694786 159.151820816505 144.016967424455 221.252663107678 159.086184595072 144.013182481393 217.831126478787
129 194.331529614442 88.4731313583934 300.18992787049 193.027731578052 87.8664304257834 298.18903273032 180.588871115264 142.042644662535 487.548754993502 178.967034293477 141.956060865464 358.186282982278
130 227.255060520732 94.9856255126435 359.52449552882 225.598792978159 96.746029161924 354.451556794395 213.771830099058 155.712862062879 561.808215446267 212.024007477701 155.582569416647 463.557672467113
121 168.536351402926 115.280190683764 221.792512122088 168.202096721616 117.409772946919 218.994420496312 163.000782621321 134.489441729435 263.636811097125 162.641181514737 134.455033023101 255.011095315125
119 170.238195057008 108.021623491518 232.454766622499 169.788092922068 111.148371289513 228.427814554623 163.471006269973 132.586790766278 293.425829716311 162.985013206365 132.546943124577 276.674623314889
124 238.456424148584 31.0285268792381 445.884321417929 235.38823952788 18.9237744445016 451.852704611259 213.103878234164 143.310920834898 916.081355286153 201.048164377735 142.64703499529 405.415308179571
134 232.586119656716 114.597672752084 350.574566561348 231.633303862788 99.5282602754334 363.738347450142 221.586309460253 161.934313745901 464.555846408958 218.737476563933 161.637510023594 405.323762675154
130 161.631755170671 128.173063691964 195.090446649378 161.469719521046 130.329888095197 192.609550946895 157.992367494679 138.852940819508 216.1447923608 157.840549356534 138.838329620338 213.342006186302
123 146.509105086908 122.746267625622 170.271942548193 146.4311716503 121.880347930666 170.981995369935 143.932350732476 129.617280872769 182.350677047991 143.924351065988 129.617069514559 181.997976735754
114 170.702727540632 94.975933241763 246.429521839502 170.163223611221 98.8789387011575 241.447508521284 162.012741876857 127.001827306166 325.047801749215 160.859437788865 126.913849180205 287.602983879279
124 185.84507492893 111.909801916907 259.780347940952 185.288456023284 106.915631560165 263.661280486404 178.219785527131 141.404186817164 335.034658834236 177.728155655349 141.364718557286 317.086672564334
124 176.811220669911 105.796185911463 247.82625542836 176.304559233956 104.2593314874 248.349786980512 168.338433105953 136.06642875344 323.45678241467 167.221576505944 135.977757655358 285.227848189903
126 270.749760636531 58.8359904672239 482.663530805838 268.161531642283 25.2761494888737 511.046913795692 250.770831817311 159.866341287578 822.824767782808 240.193838413275 159.059003082312 516.48575895172
127 188.690611626107 94.5657032691012 282.815519983112 187.581936933773 98.4920057745028 276.671868093042 176.914798149567 140.415181660168 431.974333102294 175.802599159036 140.348158114616 347.745858066983
120 288.281971624289 34.8332010685311 541.730742180046 284.989454223661 44.8840716672532 525.094836780068 265.766792981982 158.486672806405 977.079620239676 253.128509521974 157.597459460154 586.088647155701
128 242.57472911542 74.5090288165239 410.640429414315 240.52563608899 49.5061595943506 431.54511258363 225.183025971 154.579817766409 675.760245200626 219.321551798238 154.152153807476 463.344866465752
127 170.07256590255 122.950919145078 217.194212660023 169.83031110886 124.648461045773 215.012161171947 165.09491232963 139.277241913724 249.708666203534 164.840361006278 139.253293100041 244.498592132982
128 189.675019922188 119.731141541051 259.618898303325 189.219677975117 123.382264737993 255.057091212242 182.658676524584 145.90700413232 317.850603173627 182.083456494643 145.849823688315 303.839983744865
119 810.151211504812 -1448.93163332572 3069.23405633534 724.392962562661 -1600.03268090606 3048.81860603138 601.255734396571 154.835294873861 24597.4901785061 267.413459250373 147.303495845123 573.482948069185
127 172.546372104972 118.89744314517 226.195301064775 172.222190971971 121.290609632159 223.153772311784 166.592772225886 139.161614806844 270.75139389365 166.267148603384 139.133921635614 261.332787911531
129 162.688778157676 123.127412787121 202.250143528232 162.495405018792 121.303196223371 203.687613814213 158.017465180258 137.312394236196 230.264707874046 157.750113484508 137.288394906948 224.063006946277
129 159.066274006471 125.632761725355 192.499786287587 158.900119713699 121.328569167451 196.471670259948 155.248459433586 137.007699949895 215.730599726309 155.181550513173 137.002702175835 213.604733333407
128 269.82649665659 59.5269749447102 480.126018368469 266.856538708634 57.7875043721215 475.925573045146 249.521928873295 161.452790970402 842.982056565889 243.005690084035 161.007215659083 568.277469085342
123 189.989348208604 93.5131803532322 286.465516063976 189.032381496665 90.8308247461301 287.2339382472 178.544349910055 137.454751842988 417.882353267759 175.02676836054 137.168759894033 306.638357231
128 160.564354400257 116.818717885061 204.309990915452 160.217244456254 112.368587338541 208.065901573967 154.998666334152 135.414050072153 258.63898410043 154.827696942483 135.403229898488 244.70238480145
129 210.943650900027 112.908961809604 308.978339990449 210.167117483765 107.488373133289 312.845861834242 201.385585698182 151.881262076125 403.715859200902 199.451016951101 151.685234879262 359.582299662908
127 168.09192493156 119.605943790645 216.577906072475 167.794972849841 117.573489301476 218.016456398205 162.616756150368 137.778826312584 257.726880503491 162.3070226462 137.753327358335 248.790281508367
131 193.926803739952 115.389436136307 272.464171343597 193.201165427782 118.700185437146 267.702145418418 185.509973191055 148.431899108782 368.231368237676 184.953023738958 148.387229364911 339.933978342805
128 164.051801618392 125.73701711939 202.366586117394 163.875242490824 125.494199422398 202.256285559249 159.975184824751 138.416756695645 226.844690322605 159.860752923967 138.407971475806 224.53035642171
122 197.964949746873 73.0534807867142 322.876418707031 196.29804083667 63.028361173665 329.567720499675 182.261013019226 136.511712231208 554.781009508086 178.504939604505 136.282700066156 350.9149681762
122 207.090295078456 82.1258823878509 332.054707769061 205.545950722434 80.6753136579332 330.416587786934 193.201320481402 141.665679609098 534.915113650388 190.51585076224 141.479941995202 397.243188732644
128 223.818792430327 102.689948076075 344.947636784579 222.675234499181 106.527154532838 338.823314465524 212.140117661797 154.264537783417 490.401667853417 210.587442154027 154.138594593611 433.169268541392
123 531.090280996367 -207.209782872272 1269.39034486501 515.600214343735 -339.249518754607 1370.44994744208 479.893132573724 199.659566461974 3281.47497495968 389.255863675376 194.061503448439 932.844520890827
117 250.439983713319 27.2949182116035 473.585049215035 247.254281679522 8.16329047153553 486.345272887509 226.84824315282 143.067618625864 942.77776193984 214.985474759207 142.357655175611 474.128429396066
115 205.249985665677 79.8981159137007 330.601855417653 204.037699475715 65.7858771251537 342.289521826276 192.30948174038 136.495704965628 496.718198176782 189.199882785246 136.261557839442 389.39118991609
136 226.309526946564 106.108146152814 346.510907740313 225.242752140906 91.8939751060648 358.591529175747 213.584942395022 158.137739023666 481.548158292293 209.496442918792 157.774166945691 383.376248267059
