"n_obs" "em_cl_N" "em_cl_loglike" "em_el_N" "em_el_loglike" "em_pel_N" "em_pel_loglike" "opt_cl_N" "opt_cl_loglike" "opt_el_N" "opt_el_loglike" "opt_pel_N" "opt_pel_loglike"
134 219.897635301807 -752.537361055015 219.897635301807 -752.537361055015 213.370905315217 -752.591940106983 241.706242573127 -93.2915448256682 221.45172499747 -752.537094411521 214.461039778725 -752.591732734099
124 186.589059106047 -692.90219745152 186.589059106047 -692.90219745152 184.986298936422 -692.923863516718 197.093510421769 -92.3758802382387 187.162914718408 -692.902089423855 185.504534052264 -692.923763830056
138 170.217707076866 -768.652269010433 170.217707076866 -768.652269010433 169.326304809847 -768.674573336684 177.228497748776 -86.0974565185276 170.45491133312 -768.652203685191 169.539267700501 -768.674513873313
129 148.506064372089 -740.087162674982 148.506064372089 -740.087162674982 148.504092688101 -740.087175384131 150.682571136128 -110.809788877326 148.545296682522 -740.087150953923 148.547444931296 -740.087163881504
129 222.785919475013 -724.227698496032 222.785919475013 -724.227698496032 216.590074857267 -724.281158454481 241.081294982054 -94.3669934309071 224.159227497908 -724.22748999022 217.590138374631 -724.28099782833
127 164.038544487919 -710.758120383443 164.038544487919 -710.758120383443 163.589372290416 -710.767473327941 170.753595163151 -92.9139577338648 164.300733001554 -710.758047999769 163.833230825481 -710.767404734428
125 209.666855889558 -700.752430482037 209.666855889558 -700.752430482037 205.604942427856 -700.790069002975 225.652992391884 -94.3049038135887 210.786072065902 -700.75225611254 206.515106330184 -700.789923341249
115 197.114964721395 -631.105422513538 197.114964721395 -631.105422513538 188.955188917516 -631.179581571867 215.755501095131 -82.5517671841919 198.375554883666 -631.105238943035 189.782452500644 -631.179452573701
122 2822.72593891884 -674.942054256309 2822.72593891884 -674.942054256309 502.574471390137 -676.39195865447 3397.18506510954 -85.5427951829731 3228.9594907394 -674.936231159296 505.96802123152 -676.391439229443
127 143.643839421431 -718.578569391216 143.643839421431 -718.578569391216 143.634553549684 -718.578740106067 146.016540971418 -101.068524221714 143.689797866956 -718.57854948172 143.679522468059 -718.578720739648
129 175.743393280105 -724.143991387769 175.743393280105 -724.143991387769 175.04556183004 -724.156571710947 183.442545926529 -94.5107054832872 176.076820636182 -724.143917929508 175.360916802528 -724.156499973719
130 181.54499514535 -740.968157792153 181.54499514535 -740.968157792153 181.120895826545 -740.974876629309 188.75502259346 -105.439381040361 181.875446558573 -740.968090621235 181.447831613239 -740.974806914003
127 207.94621430771 -712.536283317003 207.94621430771 -712.536283317003 204.855099756741 -712.571933305815 220.119981889979 -94.4312796818699 208.727140700252 -712.536170304465 205.540444191386 -712.571828925936
122 164.692156891157 -677.093071869145 164.692156891157 -677.093071869145 163.52942506393 -677.110395722548 175.963198719791 -88.310422442058 165.182363979096 -677.092939763987 163.957520026956 -677.110277100021
122 145.899235973973 -675.666109291473 145.899235973973 -675.666109291473 145.677965958947 -675.671727749933 151.386369138238 -87.1120132788083 146.056944798773 -675.666051574729 145.824727430516 -675.6716754137
